Species,Period,n,Age,LCL,UCL,Letters
Bearded,1960s,116,4.013757259,3.467362865,4.560151653,a
Bearded,1970s,294,3.107374282,2.671387404,3.543361161,b
Bearded,1980s,1,NA,NA,NA,
Bearded,1990s,3,NA,NA,NA,
Bearded,2000s,109,2.784180465,2.216929651,3.351431279,b
Bearded,2010s,243,2.468865628,2.051687596,2.886043659,b
Bearded,2020s,94,1.31237587,0.955960047,1.668791693,c
Ringed,1960s,28,2.928511444,1.315228222,4.541794665,a
Ringed,1970s,507,6.031471671,5.619883322,6.44306002,b
Ringed,1980s,46,6.063196668,5.10802909,7.018364247,b
Ringed,1990s,2,NA,NA,NA,
Ringed,2000s,135,3.327995634,2.591794422,4.064196846,a
Ringed,2010s,277,3.729449642,3.163092301,4.295806982,a
Ringed,2020s,103,3.307684826,2.262493943,4.352875709,a
Ribbon,1960s,89,2.263796113,1.748202711,2.779389515,a
Ribbon,1970s,29,1.518212136,1.091416144,1.945008128,b
Ribbon,1980s,0,NA,NA,NA,
Ribbon,1990s,0,NA,NA,NA,
Ribbon,2000s,20,2.296271359,1.204748631,3.387794088,
Ribbon,2010s,11,2.185552922,0.16335379,4.207752054,
Ribbon,2020s,1,NA,NA,NA,
Spotted,1960s,122,3.494436876,2.502506985,4.486366767,
Spotted,1970s,135,4.124606575,3.658821957,4.590391193,a
Spotted,1980s,3,NA,NA,NA,
Spotted,1990s,13,3.131914263,1.343967756,4.919860771,
Spotted,2000s,176,3.117899325,2.64822462,3.587574029,b
Spotted,2010s,527,3.25877625,2.971466149,3.546086351,b
Spotted,2020s,126,3.806301458,2.853584931,4.759017985,
