Species,Period,n,PregRate,LCL,UCL,Letters
Bearded,1960s,162,0.864197531,0.80235829,0.908885365,a
Bearded,1970s,190,0.921052632,0.873186624,0.95184782,
Bearded,1980s,12,0.999999936,1,1,
Bearded,1990s,3,0.999999936,1,1,
Bearded,2000s,67,0.910447761,0.814653153,0.959210868,
Bearded,2010s,197,0.974619289,0.940486562,0.989396591,b
Bearded,2020s,73,0.945205479,0.862928013,0.979281645,
Ribbon,1960s,47,0.957446809,0.845161935,0.989333064,
Ribbon,1970s,25,0.88,0.687005293,0.9607855,
Ribbon,1980s,3,1,1,1,
Ribbon,1990s,,,,,
Ribbon,2000s,13,0.923076923,0.609428708,0.989280377,
Ribbon,2010s,9,0.999999991,1,1,
Ringed,1960s,32,0.90625,0.746495431,0.969449858,
Ringed,1970s,276,0.887681159,0.844702726,0.919893318,
Ringed,1980s,21,0.761904762,0.53965854,0.897277457,
Ringed,1990s,1,1,1,1,
Ringed,2000s,40,0.875,0.732798584,0.946997238,
Ringed,2010s,137,0.810218978,0.735829143,0.867434766,
Ringed,2020s,49,0.87755102,0.753113355,0.943937607,
Spotted,1960s,45,0.777777778,0.63413129,0.876049953,a
Spotted,1970s,76,0.894736842,0.803369042,0.946477588,
Spotted,1980s,9,0.999999936,1,1,
Spotted,1990s,6,0.833333333,0.5,0.97716745,
Spotted,2000s,43,0.76744186,0.619263717,0.870052235,a
Spotted,2010s,158,0.943037975,0.894160217,0.970098384,b
Spotted,2020s,41,0.975609756,0.846130291,0.996574894,
