Season,Prey,Decade,PO,LCL,UCL,n
Winter,Fish,2000s,0.9,0.781305199,0.957757203,50
Winter,Fish,2010s,0.933333333,0.888586514,0.960899367,195
Winter,Pacific herring,2000s,0.06,0.019480563,0.170172484,50
Winter,Pacific herring,2010s,0.225641026,0.172377981,0.289602891,195
Winter,Rainbow smelt,2000s,0.36,0.239973639,0.500523937,50
Winter,Rainbow smelt,2010s,0.533333333,0.463115533,0.602254834,195
Winter,Capelin,2000s,0.1,0.042242797,0.218694801,50
Winter,Capelin,2010s,0.061538462,0.03527652,0.105219003,195
Winter,Arctic cod,2000s,0.72,0.581061242,0.826610315,50
Winter,Arctic cod,2010s,0.4,0.333595989,0.470293838,195
Winter,Saffron cod,2000s,0.66,0.519531369,0.777026788,50
Winter,Saffron cod,2010s,0.851282051,0.794166156,0.894651511,195
Winter,Walleye pollock,2000s,0,0,0,50
Winter,Walleye pollock,2010s,0.025641026,0.010712571,0.060108944,195
Winter,Invertebrates,2000s,0.74,0.602058915,0.842624369,50
Winter,Invertebrates,2010s,0.81025641,0.749080809,0.859318155,195
