Species,Period,pPup,LCL,UCL,n,Letters
Bearded,1960s,0.1853659,0.1185421,0.2521896,205,a
Bearded,1970s,0.4069108,0.3851828,0.4286387,1939,b
Bearded,2000s,0.4246862,0.3809245,0.4684479,478,b
Bearded,2010s,0.5741206,0.5402088,0.6080324,796,c
Bearded,2020s,0.4652174,0.4021298,0.528305,230,b
Ringed,1960s,0.2574257,0.1697052,0.3451462,101,a
Ringed,1970s,0.2242623,0.2112286,0.237296,4575,a
Ringed,2000s,0.5506329,0.5192677,0.5819981,790,b
Ringed,2010s,0.6177962,0.598867,0.6367254,2169,c
Ringed,2020s,0.595057,0.5566183,0.6334958,526,bc
Spotted,1960s,0.5724382,0.5150603,0.6298161,283,a
Spotted,1970s,0.3598616,0.331472,0.3882512,1156,b
Spotted,2000s,0.419426,0.3873579,0.4514942,906,bc
Spotted,2010s,0.4388489,0.420542,0.4571559,2780,c
Spotted,2020s,0.5818182,0.54066,0.6229764,550,a
